No OMP
Network, states, time (ns), G states/s
passo_bool_1, 10000000, 155292225.33333334326744079590, 0.06439472406641795488
passo_tlf_1, 1000, 20472.66666666666787932627, 0.04884561529193395812
passo_tlf_1, 10000, 207878.66666666665696538985, 0.04810498431777511519
passo_tlf_1, 100000, 4757067.00000000000000000000, 0.02102135622643111837
passo_tlf_1, 1000000, 21436803.66666666790843009949, 0.04664874556625053792
passo_tlf_1, 10000000, 207498476.66666665673255920410, 0.04819312488767989872
passo_bool_2, 1000, 43316.00000000000000000000, 0.02308615753993905131
passo_bool_2, 10000, 490575.33333333331393077970, 0.02038422912960700592
passo_bool_2, 100000, 5811811.33333333302289247513, 0.01720633968732869154
passo_bool_2, 1000000, 31446709.66666666790843009949, 0.03179982931759611775
passo_bool_2, 10000000, 269603524.66666668653488159180, 0.03709150320777086784
passo_tlf_2, 1000, 99730.00000000000000000000, 0.01002707309736287911
passo_tlf_2, 10000, 882870.66666666662786155939, 0.01132668733661253493
passo_tlf_2, 100000, 8993854.00000000000000000000, 0.01111870395049775057
passo_tlf_2, 1000000, 37479039.00000000000000000000, 0.02668158060296049738
passo_tlf_2, 10000000, 394000066.00000000000000000000, 0.02538070640830806385
passo_bool_3, 1000, 94393.66666666667151730508, 0.01059393109000957012
passo_bool_3, 10000, 957534.66666666662786155939, 0.01044348611921448386
passo_bool_3, 100000, 9016780.66666666604578495026, 0.01109043279378870740
passo_bool_3, 1000000, 49916234.00000000000000000000, 0.02003356262814217845
passo_bool_3, 10000000, 377874981.66666668653488159180, 0.02646377898820848409
passo_tlf_3passo_bool_5, 1000, 87296.66666666667151730508, 0.01145519111077169735
passo_tlf_3passo_bool_5, 10000, 843916.66666666662786155939, 0.01184951120766268400
passo_tlf_3passo_bool_5, 100000, 8445807.33333333395421504974, 0.01184019431811176269
passo_tlf_3passo_bool_5, 1000000, 48132923.00000000000000000000, 0.02077580038095754034
passo_tlf_3passo_bool_5, 10000000, 323319329.00000000000000000000, 0.03092917466743845545
passo_tlf_5, 1000, 107038.33333333332848269492, 0.00934244740980645638
passo_tlf_5, 10000, 1082670.00000000000000000000, 0.00923642476470207946
passo_tlf_5, 100000, 9712677.33333333395421504974, 0.01029582231222753684
passo_tlf_5, 1000000, 63831700.66666666418313980103, 0.01566619703933733176
passo_tlf_5, 10000000, 401848146.66666668653488159180, 0.02488502207351227929
passo_bool_6, 1000, 110023.00000000000000000000, 0.00908900866182525517
passo_bool_6, 10000, 1090683.33333333325572311878, 0.00916856405006036095
passo_bool_6, 100000, 10021286.66666666604578495026, 0.00997875854930138813
passo_bool_6, 1000000, 57758049.33333333581686019897, 0.01731360410440454037
passo_bool_6, 10000000, 409043422.00000000000000000000, 0.02444728227410536414
passo_tlf_6, 1000, 111566.00000000000000000000, 0.00896330423247225852
passo_tlf_6, 10000, 455473.33333333331393077970, 0.02195518215482794577
passo_tlf_6, 100000, 4609400.66666666697710752487, 0.02169479444977734373
passo_tlf_6, 1000000, 45008128.66666666418313980103, 0.02221820879081798025
passo_tlf_6, 10000000, 447823895.00000000000000000000, 0.02233020638615096712
passo_bool_7, 1000, 142519.00000000000000000000, 0.00701660831187420585
passo_bool_7, 10000, 580544.33333333337213844061, 0.01722521334862166589
passo_bool_7, 100000, 13961901.33333333395421504974, 0.00716234827997638476
passo_bool_7, 1000000, 70342143.00000000000000000000, 0.01421622881179494292
passo_bool_7, 10000000, 575329284.33333337306976318359, 0.01738135059748882258
passo_tlf_7passo_bool_8, 1000, 106469.33333333332848269492, 0.00939237589540650210
passo_tlf_7passo_bool_8, 10000, 1079640.33333333325572311878, 0.00926234384846064476
passo_tlf_7passo_bool_8, 100000, 9656902.00000000000000000000, 0.01035528785525627153
passo_tlf_7passo_bool_8, 1000000, 39706129.33333333581686019897, 0.02518502852808921291
passo_tlf_7passo_bool_8, 10000000, 394915606.00000000000000000000, 0.02532186585708137358
passo_tlf_8, 1000, 140734.33333333334303461015, 0.00710558664907639127
passo_tlf_8, 10000, 1329497.00000000000000000000, 0.00752164164341852584
passo_tlf_8, 100000, 11545033.00000000000000000000, 0.00866173357841419807
passo_tlf_8, 1000000, 48817149.66666666418313980103, 0.02048460442340860679
passo_tlf_8, 10000000, 510117385.33333331346511840820, 0.01960333109106947302
passo_bool_9, 1000, 165507.66666666665696538985, 0.00604201618051933200
passo_bool_9, 10000, 572458.00000000000000000000, 0.01746853044240800207
passo_bool_9, 100000, 5787998.66666666697710752487, 0.01727712906637389120
passo_bool_9, 1000000, 56785523.33333333581686019897, 0.01761012211034772290
passo_bool_9, 10000000, 566514133.66666662693023681641, 0.01765181026513265583
passo_tlf_9, 1000, 201272.33333333334303461015, 0.00496839274150943054
passo_tlf_9, 10000, 1965537.66666666674427688122, 0.00508766642816817043
passo_tlf_9, 100000, 17003996.66666666790843009949, 0.00588097033658165416
passo_tlf_9, 1000000, 87373358.66666667163372039795, 0.01144513631226018631
passo_tlf_9, 10000000, 779477132.00000000000000000000, 0.01282911273399615221
(null), 1000, 46539.33333333333575865254, 0.02148720079072898720
(null), 10000, 471938.33333333331393077970, 0.02118920904214180445
(null), 100000, 4654221.33333333302289247513, 0.02148587117759189966
(null), 1000000, 32259729.66666666790843009949, 0.03099839987293135854
(null), 10000000, 192216511.66666665673255920410, 0.05202466694090025073
(null), 1000, 82070.33333333332848269492, 0.01218467087173197121
(null), 10000, 1105596.00000000000000000000, 0.00904489524202330662
(null), 100000, 9811235.66666666604578495026, 0.01019239608520938235
(null), 1000000, 40322935.00000000000000000000, 0.02479978205951526016
(null), 10000000, 423480887.66666668653488159180, 0.02361381656465987022
Without O3 With OMP
Network, states, time (ns), G states/s
passo_bool_1, 1000, 10230881.00000000000000000000, 0.00009774329307515159
passo_bool_1, 10000, 8013696.00000000000000000000, 0.00124786365741849951
passo_bool_1, 100000, 30903116.00000000000000000000, 0.00323591963994828216
passo_bool_1, 1000000, 319879327.00000000000000000000, 0.00312617889182941790
passo_bool_1, 10000000, 1471170126.00000000000000000000, 0.00679731040161156690
passo_tlf_1, 1000, 421489.00000000000000000000, 0.00237254115765773250
passo_tlf_1, 10000, 3658692.00000000000000000000, 0.00273321722626556143
passo_tlf_1, 100000, 26079029.00000000000000000000, 0.00383449859271984411
passo_tlf_1, 1000000, 274680666.66666668653488159180, 0.00364059113491788013
passo_tlf_1, 10000000, 3501230456.00000000000000000000, 0.00285613875626586269
passo_bool_2, 1000, 9700224.00000000000000000000, 0.00010309040286079991
passo_bool_2, 10000, 9097248.00000000000000000000, 0.00109923352644667924
passo_bool_2, 100000, 51564220.33333333581686019897, 0.00193932923553496810
passo_bool_2, 1000000, 471494065.00000000000000000000, 0.00212091747114568664
passo_bool_2, 10000000, 1860555252.00000000000000000000, 0.00537473960488435952
passo_tlf_2, 1000, 729409.66666666662786155939, 0.00137097168532178317
passo_tlf_2, 10000, 6618706.33333333302289247513, 0.00151086926906511803
passo_tlf_2, 100000, 52503766.66666666418313980103, 0.00190462525545786240
passo_tlf_2, 1000000, 395899453.33333331346511840820, 0.00252589386416261471
passo_tlf_2, 10000000, 1546743666.66666674613952636719, 0.00646519537497163357
passo_bool_3, 1000, 607812.33333333337213844061, 0.00164524466707651525
passo_bool_3, 10000, 1734611.00000000000000000000, 0.00576498131281307467
passo_bool_3, 100000, 50200263.66666666418313980103, 0.00199202140976802730
passo_bool_3, 1000000, 193118194.66666665673255920410, 0.00517817599592860101
passo_bool_3, 10000000, 4265534719.33333349227905273438, 0.00234437196224789252
passo_tlf_3passo_bool_5, 1000, 5891932.33333333302289247513, 0.00016972360567390541
passo_tlf_3passo_bool_5, 10000, 10027137.33333333395421504974, 0.00099729361108447968
passo_tlf_3passo_bool_5, 100000, 47732885.66666666418313980103, 0.00209499171490134866
passo_tlf_3passo_bool_5, 1000000, 402297007.66666668653488159180, 0.00248572567268155048
passo_tlf_3passo_bool_5, 10000000, 4007096706.66666650772094726562, 0.00249557241365371864
passo_tlf_5, 1000, 9180116.33333333395421504974, 0.00010893108144707969
passo_tlf_5, 10000, 12390748.00000000000000000000, 0.00080705377915844952
passo_tlf_5, 100000, 58459668.66666666418313980103, 0.00171058102587261793
passo_tlf_5, 1000000, 594109324.33333337306976318359, 0.00168319189590590557
passo_tlf_5, 10000000, 5926032997.00000000000000000000, 0.00168746951038956550
passo_bool_6, 1000, 9164057.33333333395421504974, 0.00010912197115600760
passo_bool_6, 10000, 8710396.66666666604578495026, 0.00114805334161972731
passo_bool_6, 100000, 56984394.33333333581686019897, 0.00175486641860303928
passo_bool_6, 1000000, 245002874.66666665673255920410, 0.00408158476246667842
passo_bool_6, 10000000, 5894173280.00000000000000000000, 0.00169659077277755223
passo_tlf_6, 1000, 9966285.33333333395421504974, 0.00010033828719065371
passo_tlf_6, 10000, 13642941.00000000000000000000, 0.00073297978786245575
passo_tlf_6, 100000, 68120868.33333332836627960205, 0.00146797893871043598
passo_tlf_6, 1000000, 679677476.33333337306976318359, 0.00147128606555379116
passo_tlf_6, 10000000, 6734139321.33333301544189453125, 0.00148497076208694168
